,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,neighborhood_median,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5910,46768134,Classic HP 1BR with Fast Transit to UChicago & DT by Zen Rentals,377947515,Zen,Hyde Park,41.80203,-87.59154000000001,Entire home/apt,34,50,1,9,2021-02-04,3.86,5,199
5911,46768167,Classic HP 1BR with Fast Transit to UChicago & DT by Zen Rentals,377947515,Zen,Hyde Park,41.7973,-87.58981999999999,Entire home/apt,37,50,1,7,2021-01-26,2.88,5,108
5912,46768175,Historic HP Studio with Fast Transit to UChicago & DT by Zen Rentals,377947515,Zen,Hyde Park,41.79546,-87.59215999999999,Entire home/apt,34,50,1,4,2021-01-20,1.6,5,200
5913,46768182,Historic HP Studio with Fast Transit to UChicago & DT by Zen Rentals,377947515,Zen,Hyde Park,41.79565,-87.59172,Entire home/apt,34,50,1,0,,0.0,5,186
5914,46769589,"Cozy and Chic 3BR in Logan Square, Near 606 Trail",271617038,Melanie,West Town,41.91332,-87.69747,Entire home/apt,60,100,20,1,2021-01-14,0.81,4,60
5915,46771974,1 Bedroom Sunny Apartment in Rogers Park!,377980684,Yevgeniy,Rogers Park,42.01533,-87.68386,Entire home/apt,50,71,1,1,2021-01-16,0.86,1,94
5916,46775273,RmWA: 3 LOCATIONS! 500-1650 MNTH•LUX•STUDENT $795,377884322,Kathryn,Near West Side,41.88198,-87.68123,Private room,26,102,32,0,,0.0,9,342
5917,46775759,RmWE: 3 LOCATIONS! $500-1650•PRIV MSTR BD/BTH$1150,377884322,Kathryn,Near West Side,41.88037,-87.6809,Private room,39,102,32,0,,0.0,9,365
5918,46776388,Live + Work + Stay + Easy | 3BR in Chicago,359234447,Kia,Near North Side,41.89111,-87.62205,Entire home/apt,238,132,33,0,,0.0,39,360
5919,46778695,RmWF: 3 LOCATIONS! $500-1650 MNTH•LUX•STUDENT $795,377884322,Kathryn,Near West Side,41.88055,-87.68243000000001,Private room,27,102,32,0,,0.0,9,0
